module,word,imagePath,audioPath
A,apple,/media/A/apple.png,/media/A/apple.mp3
A,ball,/media/A/ball.png,/media/A/ball.mp3
A,book,/media/A/book.png,/media/A/book.mp3
A,cup,/media/A/cup.png,/media/A/cup.mp3
A,dog,/media/A/dog.png,/media/A/dog.mp3
A,fish,/media/A/fish.png,/media/A/fish.mp3
A,star,/media/A/star.png,/media/A/star.mp3
A,sun,/media/A/sun.png,/media/A/sun.mp3
A,tree,/media/A/tree.png,/media/A/tree.mp3
B,cold,/media/B/cold.png,/media/B/cold.mp3
B,family,/media/B/family.png,/media/B/family.mp3
B,fast,/media/B/fast.png,/media/B/fast.mp3
B,green,/media/B/green.png,/media/B/green.mp3
B,happy,/media/B/happy.png,/media/B/happy.mp3
B,house,/media/B/house.png,/media/B/house.mp3
B,jump,/media/B/jump.png,/media/B/jump.mp3
B,red,/media/B/red.png,/media/B/red.mp3
B,sing,/media/B/sing.png,/media/B/sing.mp3
B,yellow,/media/B/yellow.png,/media/B/yellow.mp3
C,beach,/media/C/beach.png,/media/C/beach.mp3
C,doctor,/media/C/beach.png,/media/C/beach.mp3
C,farmer,/media/C/beach.png,/media/C/beach.mp3
C,forest,/media/C/beach.png,/media/C/beach.mp3
C,mountain,/media/C/beach.png,/media/C/beach.mp3
C,quiet,/media/C/beach.png,/media/C/beach.mp3
C,river,/media/C/beach.png,/media/C/beach.mp3
C,summer,/media/C/beach.png,/media/C/beach.mp3
C,teacher,/media/C/beach.png,/media/C/beach.mp3
C,winter,/media/C/beach.png,/media/C/beach.mp3
D,ancient,/media/D/ancient.png,/media/D/ancient.mp3
D,classroom,/media/D/classroom.png,/media/D/classroom.mp3
D,education,/media/D/education.png,/media/D/education.mp3
D,environment,/media/D/environment.png,/media/D/environment.mp3
D,homework,/media/D/homework.png,/media/D/homework.mp3
D,innovation,/media/D/innovation.png,/media/D/innovation.mp3
D,knowledge,/media/D/knowledge.png,/media/D/knowledge.mp3
D,language,/media/D/language.png,/media/D/language.mp3
D,research,/media/D/research.png,/media/D/research.mp3
D,science,/media/D/science.png,/media/D/science.mp3
